model,train,test
lasso,713.0128687968737,707.9760228545738
ridge,753.949886551553,741.4345844627113
elastic,729.9767948110067,719.3625654987554
sklearn_lasso,713.0904549651797,707.9524049768435
sklearn_ridge,713.5514220085228,708.5469846886009
sklearn_elastic,810.0261071006081,796.2036193942503
my_lr_min_max,766.9200314674928,759.1245051156097
my_lasso_min_max,766.9154149698718,759.077978399757
my_ridge_min_max,1018.36646504665,1012.7391156487043
my_elastic_min_max,977.4303296179072,972.3742429781428
sklearn_lr_min_max,713.5553592184525,708.5544953596068
sklearn_lasso_min_max,713.4395302352543,707.8930860146747
sklearn_ridge_min_max,713.7064524633812,708.5115234467621
sklearn_elastic_min_max,1058.8100387865838,1053.3547507331841
my_lr_standard,713.4553587172459,708.4713542267353
my_lasso_standard,713.430574450715,708.439998255023
my_ridge_standard,719.0390161405619,710.295851275901
my_elastic_standard,714.1432372249051,707.1206098358323
sklearn_lr_standard,713.5553592183986,708.5544953595512
sklearn_lasso_standard,713.3427002680705,708.2715350219875
sklearn_ridge_standard,713.5546416481409,708.5531485632885
sklearn_elastic_standard,744.1937502051883,733.1668478330549
my_lr_poly,817.1030715116287,807.072231163622
my_lasso_poly,817.2583446660814,807.1827446903027
my_ridge_poly,1077.4315531655636,1072.204743481223
my_elastic_poly,1033.1487933725148,1026.9681393779624
mean,1140.4453028908927,1134.133499249175
median,1087.4590083456062,1081.216618437371
