model,train,test
lasso,0.5784954760567156,0.5859644742791044
ridge,0.5144596384471347,0.5269712796019358
elastic,0.5483031470608976,0.5598796217557864
sklearn_lasso,0.5783437336673791,0.5860934302046183
sklearn_ridge,0.5785038082902849,0.5858976352132045
sklearn_elastic,0.44260937536483624,0.45498802803661587
my_lr_min_max,0.5100077612249303,0.5143056302903213
my_lasso_min_max,0.509836366962993,0.5141599149808063
my_ridge_min_max,0.18479826288193235,0.18373969063477724
my_elastic_min_max,0.23901008104489463,0.23711728879545702
sklearn_lr_min_max,0.5785038151797597,0.5858949371672828
sklearn_lasso_min_max,0.578158319179124,0.5858976411662319
sklearn_ridge_min_max,0.5784626054481226,0.5858423311067973
sklearn_elastic_min_max,0.12762853045432365,0.12761639848083417
my_lr_standard,0.5784993727931367,0.5858690680039518
my_lasso_standard,0.5784989171841064,0.585883119884005
my_ridge_standard,0.5692436812790114,0.5788853876117577
my_elastic_standard,0.5756898773733408,0.5844129911928968
sklearn_lr_standard,0.5785038151797599,0.5858949371672871
sklearn_lasso_standard,0.578480039548013,0.5860157505453198
sklearn_ridge_standard,0.5785038149319472,0.5858953743077939
sklearn_elastic_standard,0.5405797352456181,0.5516581728850671
my_lr_poly,0.44860513695272775,0.4646648445199939
my_lasso_poly,0.4484386162465427,0.4645119148752791
my_ridge_poly,0.09585676497968798,0.10002684388342076
my_elastic_poly,0.16052085379437198,0.16757403328979015
mean,0.0,0.0
median,-0.05966944066055535,-0.057206850842890455
