model,train,test
lasso,1037.7745748916088,1025.9044850510575
ridge,1113.8188795091196,1096.5586880797819
elastic,1074.2996610450703,1057.7276658227288
sklearn_lasso,1037.961358442468,1025.7447079823742
sklearn_ridge,1037.764317560557,1025.9872892140565
sklearn_elastic,1193.3881912148875,1177.0397947796168
my_lr_min_max,1118.9134822385438,1111.1422452337786
my_lasso_min_max,1119.1091573614895,1111.308912076377
my_ridge_min_max,1443.2263668063606,1440.4641855561833
my_elastic_min_max,1394.4127916513319,1392.5699247790305
sklearn_lr_min_max,1037.7643090792808,1025.9906315715846
sklearn_lasso_min_max,1038.1895442152406,1025.987281839394
sklearn_ridge_min_max,1037.8150390087108,1026.0557981392533
sklearn_elastic_min_max,1492.9753359461251,1489.161747355109
my_lr_standard,1037.7697778572951,1026.0226779133307
my_lasso_standard,1037.7703387309023,1026.0052707737154
my_ridge_standard,1049.1020477256454,1034.6376563445745
my_elastic_standard,1041.2226399711024,1027.8248337367706
sklearn_lr_standard,1037.7643090792806,1025.9906315715791
sklearn_lasso_standard,1037.7935776171787,1025.8409564683345
sklearn_ridge_standard,1037.7643093843499,1025.9900900397033
sklearn_elastic_standard,1083.4452756996072,1067.561132653902
my_lr_poly,1186.9522942173949,1166.543685902944
my_lasso_poly,1187.1315099002488,1166.710297763352
my_ridge_poly,1519.9192831599423,1512.5261886186424
my_elastic_poly,1464.5589676495335,1454.6581170339769
mean,1598.460491014796,1594.3663696206174
median,1645.459174090922,1639.3365033284354
